time: 2017-09-27 21:17:10, latitude: 40.4319, longitude: -86.9263, velocity: 0.195489 m/s

time: 2017-09-27 21:17:15, latitude: 40.4319, longitude: -86.9263, velocity: 0.118322 m/s

time: 2017-09-27 21:17:20, latitude: 40.4319, longitude: -86.9263, velocity: 0.0308666 m/s

time: 2017-09-27 21:17:25, latitude: 40.4319, longitude: -86.9263, velocity: 0.0771666 m/s

time: 2017-09-27 21:17:30, latitude: 40.4319, longitude: -86.9263, velocity: 0.180055 m/s

time: 2017-09-27 21:17:35, latitude: 40.4319, longitude: -86.9263, velocity: 0.164622 m/s

time: 2017-09-27 21:17:40, latitude: 40.4319, longitude: -86.9263, velocity: 0.0617333 m/s

time: 2017-09-27 21:17:45, latitude: 40.4319, longitude: -86.9263, velocity: 0.180055 m/s

time: 2017-09-27 21:17:50, latitude: 40.4319, longitude: -86.9263, velocity: 0.1389 m/s

time: 2017-09-27 21:17:55, latitude: 40.4319, longitude: -86.9263, velocity: 0.226355 m/s

time: 2017-09-27 21:18:00, latitude: 40.4319, longitude: -86.9263, velocity: 0.3704 m/s

time: 2017-09-27 21:18:06, latitude: 40.4319, longitude: -86.9263, velocity: 0.1389 m/s

time: 2017-09-27 21:18:11, latitude: 40.4319, longitude: -86.9262, velocity: 0.128611 m/s

time: 2017-09-27 21:18:16, latitude: 40.4319, longitude: -86.9262, velocity: 0.102889 m/s

time: 2017-09-27 21:18:21, latitude: 40.4319, longitude: -86.9262, velocity: 0.133755 m/s

time: 2017-09-27 21:18:26, latitude: 40.4319, longitude: -86.9262, velocity: 0.144044 m/s

time: 2017-09-27 21:18:31, latitude: 40.4319, longitude: -86.9262, velocity: 0.216066 m/s

time: 2017-09-27 21:18:36, latitude: 40.4319, longitude: -86.9262, velocity: 0.123467 m/s

time: 2017-09-27 21:18:41, latitude: 40.4319, longitude: -86.9262, velocity: 0.169767 m/s

time: 2017-09-27 21:18:46, latitude: 40.4319, longitude: -86.9262, velocity: 0.0668777 m/s

time: 2017-09-27 21:18:51, latitude: 40.4319, longitude: -86.9262, velocity: 0.149189 m/s

time: 2017-09-27 21:18:56, latitude: 40.4319, longitude: -86.9262, velocity: 0.0463 m/s

time: 2017-09-27 21:19:01, latitude: 40.4319, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:19:06, latitude: 40.4319, longitude: -86.9262, velocity: 0.0617333 m/s

time: 2017-09-27 21:19:11, latitude: 40.4319, longitude: -86.9262, velocity: 0.226355 m/s

time: 2017-09-27 21:19:16, latitude: 40.4319, longitude: -86.9262, velocity: 0.221211 m/s

time: 2017-09-27 21:19:21, latitude: 40.4319, longitude: -86.9262, velocity: 0.133755 m/s

time: 2017-09-27 21:19:26, latitude: 40.4319, longitude: -86.9262, velocity: 0.180055 m/s

time: 2017-09-27 21:19:31, latitude: 40.4319, longitude: -86.9262, velocity: 0.252078 m/s

time: 2017-09-27 21:19:36, latitude: 40.4319, longitude: -86.9262, velocity: 0.221211 m/s

time: 2017-09-27 21:19:41, latitude: 40.4319, longitude: -86.9262, velocity: 0.236644 m/s

time: 2017-09-27 21:19:46, latitude: 40.4319, longitude: -86.9262, velocity: 0.246933 m/s

time: 2017-09-27 21:19:51, latitude: 40.4319, longitude: -86.9262, velocity: 0.308666 m/s

time: 2017-09-27 21:19:56, latitude: 40.4319, longitude: -86.9262, velocity: 0.282944 m/s

time: 2017-09-27 21:20:01, latitude: 40.4319, longitude: -86.9262, velocity: 0.246933 m/s

time: 2017-09-27 21:20:07, latitude: 40.4319, longitude: -86.9262, velocity: 0.1389 m/s

time: 2017-09-27 21:20:12, latitude: 40.4319, longitude: -86.9262, velocity: 0.113178 m/s

time: 2017-09-27 21:20:17, latitude: 40.4319, longitude: -86.9262, velocity: 0.169767 m/s

time: 2017-09-27 21:20:22, latitude: 40.4319, longitude: -86.9262, velocity: 0.257222 m/s

time: 2017-09-27 21:20:27, latitude: 40.4319, longitude: -86.9262, velocity: 0.426989 m/s

time: 2017-09-27 21:20:32, latitude: 40.4319, longitude: -86.9262, velocity: 0.684211 m/s

time: 2017-09-27 21:20:37, latitude: 40.4319, longitude: -86.9262, velocity: 0.524733 m/s

time: 2017-09-27 21:20:42, latitude: 40.4319, longitude: -86.9262, velocity: 0.108033 m/s

time: 2017-09-27 21:20:47, latitude: 40.4319, longitude: -86.9262, velocity: 0.128611 m/s

time: 2017-09-27 21:20:52, latitude: 40.4319, longitude: -86.9262, velocity: 0.288089 m/s

time: 2017-09-27 21:20:57, latitude: 40.4319, longitude: -86.9262, velocity: 0.658488 m/s

time: 2017-09-27 21:21:02, latitude: 40.4319, longitude: -86.9262, velocity: 0.344677 m/s

time: 2017-09-27 21:21:07, latitude: 40.4319, longitude: -86.9262, velocity: 0.0925999 m/s

time: 2017-09-27 21:21:12, latitude: 40.4319, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:21:17, latitude: 40.4319, longitude: -86.9262, velocity: 0.118322 m/s

time: 2017-09-27 21:21:22, latitude: 40.4319, longitude: -86.9262, velocity: 0.1389 m/s

time: 2017-09-27 21:21:27, latitude: 40.4319, longitude: -86.9262, velocity: 0.169767 m/s

time: 2017-09-27 21:21:32, latitude: 40.4319, longitude: -86.9262, velocity: 0.0205778 m/s

time: 2017-09-27 21:21:37, latitude: 40.4319, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:21:42, latitude: 40.4319, longitude: -86.9262, velocity: 0.339533 m/s

time: 2017-09-27 21:21:47, latitude: 40.4319, longitude: -86.9262, velocity: 0.3704 m/s

time: 2017-09-27 21:21:52, latitude: 40.4319, longitude: -86.9262, velocity: 0.210922 m/s

time: 2017-09-27 21:21:57, latitude: 40.4319, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:22:02, latitude: 40.4319, longitude: -86.9262, velocity: 0.113178 m/s

time: 2017-09-27 21:22:08, latitude: 40.4319, longitude: -86.9262, velocity: 0.488722 m/s

time: 2017-09-27 21:22:13, latitude: 40.4319, longitude: -86.9262, velocity: 0.519588 m/s

time: 2017-09-27 21:22:18, latitude: 40.4319, longitude: -86.9262, velocity: 0.421844 m/s

time: 2017-09-27 21:22:23, latitude: 40.4319, longitude: -86.9262, velocity: 0.401266 m/s

time: 2017-09-27 21:22:28, latitude: 40.4319, longitude: -86.9262, velocity: 0.421844 m/s

time: 2017-09-27 21:22:33, latitude: 40.4319, longitude: -86.9262, velocity: 0.180055 m/s

time: 2017-09-27 21:22:38, latitude: 40.4319, longitude: -86.9262, velocity: 0.195489 m/s

time: 2017-09-27 21:22:43, latitude: 40.4319, longitude: -86.9262, velocity: 0.210922 m/s

time: 2017-09-27 21:22:48, latitude: 40.4319, longitude: -86.9262, velocity: 0.5556 m/s

time: 2017-09-27 21:22:53, latitude: 40.4319, longitude: -86.9262, velocity: 0.288089 m/s

time: 2017-09-27 21:22:58, latitude: 40.4319, longitude: -86.9262, velocity: 0.0154333 m/s

time: 2017-09-27 21:23:03, latitude: 40.4319, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:23:08, latitude: 40.4319, longitude: -86.9262, velocity: 0.252078 m/s

time: 2017-09-27 21:23:13, latitude: 40.4319, longitude: -86.9262, velocity: 0.2778 m/s

time: 2017-09-27 21:23:18, latitude: 40.4319, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:23:23, latitude: 40.4319, longitude: -86.9262, velocity: 0.257222 m/s

time: 2017-09-27 21:23:28, latitude: 40.4319, longitude: -86.9262, velocity: 0.236644 m/s

time: 2017-09-27 21:23:33, latitude: 40.4319, longitude: -86.9262, velocity: 0.1389 m/s

time: 2017-09-27 21:23:38, latitude: 40.4319, longitude: -86.9262, velocity: 0.102889 m/s

time: 2017-09-27 21:23:43, latitude: 40.4319, longitude: -86.9262, velocity: 0.164622 m/s

time: 2017-09-27 21:23:48, latitude: 40.4319, longitude: -86.9262, velocity: 0.205778 m/s

time: 2017-09-27 21:23:53, latitude: 40.4319, longitude: -86.9262, velocity: 0.375544 m/s

time: 2017-09-27 21:23:58, latitude: 40.4319, longitude: -86.9262, velocity: 0.144044 m/s

time: 2017-09-27 21:24:03, latitude: 40.4319, longitude: -86.9262, velocity: 0.144044 m/s

time: 2017-09-27 21:24:08, latitude: 40.4319, longitude: -86.9262, velocity: 0.1389 m/s

time: 2017-09-27 21:24:14, latitude: 40.4319, longitude: -86.9262, velocity: 0.169767 m/s

time: 2017-09-27 21:24:19, latitude: 40.4319, longitude: -86.9262, velocity: 0.190344 m/s

time: 2017-09-27 21:24:24, latitude: 40.4319, longitude: -86.9262, velocity: 0.200633 m/s

time: 2017-09-27 21:24:29, latitude: 40.4319, longitude: -86.9262, velocity: 0.169767 m/s

time: 2017-09-27 21:24:34, latitude: 40.4319, longitude: -86.9262, velocity: 0.205778 m/s

time: 2017-09-27 21:24:39, latitude: 40.4319, longitude: -86.9262, velocity: 0.308666 m/s

time: 2017-09-27 21:24:44, latitude: 40.4319, longitude: -86.9262, velocity: 0.2778 m/s

time: 2017-09-27 21:24:49, latitude: 40.4319, longitude: -86.9262, velocity: 0.0720222 m/s

time: 2017-09-27 21:24:54, latitude: 40.4319, longitude: -86.9262, velocity: 0.108033 m/s

time: 2017-09-27 21:24:59, latitude: 40.4319, longitude: -86.9262, velocity: 0.144044 m/s

time: 2017-09-27 21:25:04, latitude: 40.4319, longitude: -86.9261, velocity: 0.3241 m/s

time: 2017-09-27 21:25:09, latitude: 40.4319, longitude: -86.9261, velocity: 0.303522 m/s

time: 2017-09-27 21:25:14, latitude: 40.4319, longitude: -86.9261, velocity: 0.282944 m/s

time: 2017-09-27 21:25:19, latitude: 40.4319, longitude: -86.9261, velocity: 0.0925999 m/s

time: 2017-09-27 21:25:24, latitude: 40.4319, longitude: -86.9261, velocity: 0.123467 m/s

time: 2017-09-27 21:25:29, latitude: 40.4319, longitude: -86.9261, velocity: 0.262366 m/s

time: 2017-09-27 21:25:34, latitude: 40.4319, longitude: -86.9261, velocity: 0.0874555 m/s

time: 2017-09-27 21:25:39, latitude: 40.4319, longitude: -86.9261, velocity: 0.257222 m/s

time: 2017-09-27 21:25:44, latitude: 40.4319, longitude: -86.9261, velocity: 0.1852 m/s

time: 2017-09-27 21:25:49, latitude: 40.4319, longitude: -86.9261, velocity: 0.102889 m/s

